=== Unused Algorithms ===
# usecount  child% type   lines tst/src tstcnt codebase testinfo istest versioninfo deprecated name                                    
          8     0% C++      260    2.57      3 ours            -    -             -          - RenameLog.v1                            
          8     0% C++      267    1.49      4 ours            -    -             -          - WeightedMeanOfWorkspace.v1              
          8     0% C++      311    0.00      0 ours     untested    -             -          - TOFSANSResolution.v1                    
          8     0% C++      345    0.42      3 ours            -    -   superseded           - StripVanadiumPeaks.v1                   
          8     0% C++      404    3.81      6 ours            -    -             -          - SaveReflCustomAscii.v1                  
          8     0% C++      450    1.02      3 ours            -    -             -          - CreateLogTimeCorrection.v1              
          8     0% C++      725    0.50     10 ours            -    -             -          - PolarizationCorrection.v1               
          8     0% C++     1246    0.46      6 ours            -    -             -          - ConvertCWPDMDToSpectra.v1               
          8     0% Python   469    0.34      3 ours            -    -             -          - BayesStretch.v1                         
          8    37% Python   255    0.00      0 ours     untested    -   superseded           - LRDirectBeamSort.v1                     
          9     0% C++      173    0.00      0 ours     untested    -             -          - RecordPythonScript.v1                   
          9     0% C++      845    0.27      3 ours            -    -             -          - GetTimeSeriesLogInformation.v1          
          9     0% C++      906    0.50      6 ours            -    -             -          - GetSpiceDataRawCountsFromMD.v1          
          9     0% Python    63    0.00      0 ours     untested    -             -          - Squares.v1                              
          9     0% Python   148    0.00      0 ours     untested    -             -          - USANSSimulation.v1                      
          9    22% C++      915    0.92      9 ours            -    -             -          - LoadTBL.v1                              
         10     0% C++       97    0.00      0 ours     untested    -             -          - Segfault.v1                             
         10     0% C++      249    3.86      6 ours            -    -             -          - CuboidGaugeVolumeAbsorption.v1          
         10     0% C++      384    0.00      0 ours     untested    -             -          - PatchBBY.v1                             
         10     0% C++      401    0.37      1 ours            -    -             -          - Regroup.v1                              
         10     0% C++      406    1.16      2 ours            -    -             -          - NormaliseVanadium.v1                    
         10     0% C++      457    3.57      6 ours            -    -             -          - SaveILLCosmosAscii.v1                   
         10     0% C++      470    0.92      5 ours            -    -             -          - LoadSavuTomoConfig.v1                   
         10     0% C++      902    1.14     12 ours            -    -             -          - ReplicateMD.v1                          
         10     0% C++      989    0.23      3 ours            -    -             -          - LoadVulcanCalFile.v1                    
         10     0% C++     1245    0.48     11 ours            -    -             -          - LoadSQW.v2                              
         10     0% Python    58    0.00      0 ours     untested    -             -          - ViewBOA.v1                              
         10     0% Python    82    0.00      0 ours     untested    -             -          - LoadVisionElasticBS.v1                  
         10     0% Python   130    0.00      0 ours     untested    -             -          - ConvertSnsRoiFileToMask.v1              
         10     0% Python   226    0.00      0 ours     untested    -             -          - REFLReprocess.v1                        
         11     0% C++      251    3.07      6 ours            -    -             -          - PowerLawCorrection.v1                   
         11     0% C++      255    0.81      1 ours            -    -             -          - CalculateZscore.v1                      
         11     0% C++      284    0.43      2 ours            -    -             -          - SaveZODS.v1                             
         11     0% C++      384    0.65      4 ours            -    -             -          - GeneralisedSecondDifference.v1          
         11     0% C++      489    0.46      1 ours            -    -             -          - ReadGroupsFromFile.v1                   
         11     0% C++      516    1.00      0 ours            -    -             -          - MayersSampleCorrection.v1               
         11     0% C++      519    2.02      3 ours            -    -             -          - SassenaFFT.v1                           
         11     0% C++      729    1.42     10 ours            -    -             -          - CreateUserDefinedBackground.v1          
         11     0% C++      734    1.61     12 ours            -    -             -          - IntegratePeaksHybrid.v1                 
         11     0% C++      904    0.66      3 ours            -    -             -          - SaveFullprofResolution.v1               
         11     0% C++      969    3.04     15 ours            -    -             -          - NormaliseByDetector.v1                  
         11     0% Python    31    0.00      0 ours     untested    -             -          - TestWorkspaceGroupProperty.v1           
         11     0% Python    79    0.00      0 ours     untested    -             -          - ExampleSaveAscii.v1                     
         11     0% Python   483    1.00      7 ours            -    -             -          - IqtFitMultiple.v1                       
         11     9% C++      264    2.87      3 ours            -    -             -          - Exponential.v1                          
         11     9% Python   436    0.37      2 ours            -    -             -          - SaveNexusPD.v1                          
         12     0% C++      230    1.26      3 ours            -    -             -          - CopyDetectorMapping.v1                  
         12     0% C++      265    0.00      0 ours     untested    -   superseded           - FFTSmooth.v1                            
         12     0% C++      272    0.94      5 ours            -    -             -          - PoldiPeakSummary.v1                     
         12     0% C++      376    0.76      2 ours            -    -             -          - ModifyDetectorDotDatFile.v1             
         12     0% C++      403    1.58      5 ours            -    -             -          - RRFMuon.v1                              
         12     0% C++      451    0.95      1 ours            -    -             -          - SaveParameterFile.v1                    
         12     0% C++      468    0.86      5 ours            -    -             -          - SaveSavuTomoConfig.v1                   
         12     0% C++      486    1.00      0 ours            -    -             -          - UserFunction1D.v1                       
         12     0% C++      548    0.70      1 ours            -    -             -          - DetectorEfficiencyVariation.v1          
         12     0% C++      554    0.42     10 ours            -    -             -          - PerformIndexOperations.v1               
         12     0% C++      564    0.32      3 ours            -    -             -          - SpatialGrouping.v1                      
         12     0% C++      586    1.70      9 ours            -    -             -          - IntegratePeaksUsingClusters.v1          
         12     0% C++      943    0.36      8 ours            -    -   superseded           - ConvertToDiffractionMDWorkspace.v1      
         12     0% C++     1266    0.00      0 ours     untested    -             -          - SaveISISNexus.v1                        
         12     0% Python   100    0.00      0 ours     untested    -             -          - ApplyNegMuCorrection.v1                 
         12     0% Python   212    0.58      5 ours            -    -             -          - VesuvioThickness.v1                     
         12    41% C++      414    0.28      2 ours            -    -             -          - LoadPreNexusMonitors.v1                 
         13     0% C++      179    0.93      2 ours            -    -             -          - ChangeQConvention.v1                    
         13     0% C++      230    0.60      1 ours            -    -             -          - ShowPeakHKLOffsets.v1                   
         13     0% C++      254    0.00      0 ours     untested    -             -          - LoadInstrumentFromNexus.v1              
         13     0% C++      288    0.55      2 ours            -    -             - deprecated FindUBUsingMinMaxD.v1                   
         13     0% C++      394    0.45      5 ours            -    -             -          - CalMuonDeadTime.v1                      
         13     0% C++      419    2.94      7 ours            -    -             -          - WeightedMeanMD.v1                       
         13     0% C++      424    0.43      2 ours            -    -             -          - EstimateResolutionDiffraction.v1        
         13     0% C++      430    0.19      2 ours            -    -             -          - LoadIsawSpectrum.v1                     
